stage_writes_nothing	<27	65
stage_goes_on_to_boot	<27	65
stage_settles_on_the_wrong_state	<27	65
activate_keeps_the_record	<27	65
activate_ignores_the_counter	<27	65
activate_ignores_the_running_version	<27	65
activate_ignores_the_downgrade_permission	<27	65
stage_always_opens_a_new_transfer	<27	65
report_names_the_staged_starting_version	<27	65
activate_ignores_the_transfer_id	<27	65
activate_ignores_the_accepted_bytes	<27	65
activate_skips_the_digest	<27	65
journal_keeps_every_record	<27	65
build_script	0	0
cargo_runner	0	0
harness_false_manifest	0	0
claims_a_graded_target_name	0	0
dev_dependency_added	27	65
rewrites_an_inherited_suite	27	65
harmless_cargo_config	27	65
