pushdown_keeps_the_old_legality	<39	92
pushdown_descends_through_a_merge	<39	92
unmatched_right_rows_come_first	<39	92
merged_value_never_falls_back	<39	92
merged_value_keeps_its_own_type	<39	92
full_join_drops_unmatched_left_rows	<39	92
full_join_drops_unmatched_right_rows	<39	92
cross_join_accepts_a_constraint	<39	92
left_outer_is_rejected	<39	92
using_columns_do_not_merge	<39	92
build_script	0	0
cargo_runner	0	0
rust_toolchain_file	0	0
build_script_at_a_custom_path	0	0
build_script_in_a_subdirectory	0	0
path_dependency_with_a_build_script	0	0
proc_macro_crate	0	0
harness_false_manifest	0	0
claims_a_graded_target_name	0	0
rewrites_an_inherited_suite	39	92
adds_its_own_test_file	39	92
manifest_profile_tweak	39	92
harmless_cargo_config	39	92
